author,publication_count
Pasi A. Jänne,20
Ke Zhang,20
Dierk Raabe,20
Wei Yu,20
Eric P. Winer,20
Bei Cheng,20
Jianfeng Gao,20
Pierre Friedlingstein,19
Gil D. Rabinovici,19
R. Birney,19
Trevor Darrell,19
Taha Merghoub,19
Paul Muntner,19
Katja Zeppenfeld,19
Nanthi Bolan,19
Rui‐Hua Xu,19
Xu Wang,19
Frank Tacke,19
Benjamin Besse,19
Michael C. Schatz,19
Seyyed Shamsadin Athari,19
A. Bisht,19
Liang Zheng,19
Wei Wei,19
Lajos Hanzo,19
Liqiang Mai,19
Walid Ammar,19
Lâle Tokgözoğlu,19
Chris Sander,19
Oliver Stegle,19
Richard Durbin,19
Penny Whiting,19
Ido Amit,19
Syed Anees Ahmed,19
A. Carnero Rosell,19
David S. Wishart,19
James P. Allison,19
Zheng Wang,19
David Jones,19
Jun Yu,19
Rui Zhao,19
Shiyun Ling,19
Giuseppe Viale,19
Xiangyu Zhang,19
Ton N. Schumacher,19
Shi Xue Dou,19
Ming‐Ming Cheng,19
Nancy Fullman,19
Hilary K. Finucane,19
Lude Franke,19
Daniel H. Geschwind,19
Gordon J. Freeman,19
Gretchen A Stevens,19
Md. Tabil Ahammed,19
Sarit Polsky,19
Frank B. Hu,19
Cyrus Cooper,19
Yi Jiang,19
Gregg C. Fonarow,19
Matthew Meyerson,19
Han Wang,19
Lei Xu,19
C. Aulbert,19
Shinichi Sunagawa,19
Myung‐Ju Ahn,19
Peng Xu,19
James Chih‐Hsin Yang,19
Andrew X. Zhu,19
Josef Coresh,19
Sung‐Fu Hung,19
Stephan Achenbach,19
Jack Bowden,19
Yiling Lu,19
Evan Z. Macosko,19
Ye Wang,19
Li Song,19
Clyde W. Yancy,19
Tao Sun,19
Dahua Lin,19
Manolis Kellis,19
Qiang Xü,19
Chi Zhang,19
O. Birnholtz,19
Dan Wang,19
Michael Böhm,19
George F. Gao,19
Boyi Gan,19
Bo Tang,19
Xiang Wang,19
Alexandra Zhernakova,19
Xi Wang,19
Patrick M. Bossuyt,19
Laurent Fauchier,19
Ala’a Alkerwi,19
Zhe Chen,19
Peng Gao,19
Shibo Xi,19
Alex Bateman,19
Robert Ancuceanu,19
Fergal J. Martin,19
